yyyyq,dsr,dsr_demean,mdsr,cdsr,f,f_demean,Rfree,Index,D12,E12,SP500,dp,dy,ep,cay_ll,cay_goyal,ERP,ERP4,ERP8,ERP12,ERP16,ERP24,ERP50,sp1,sp4,sp8,sp12,sp16,sp24,sp50,ik,b/m,tbl,AAA,BAA,lty,ntis,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,D3,E3,y
19313,NaN,NaN,NaN,NaN,NaN,NaN,0.001125,9.71,0.86,0.7,-0.287255563,0.088568486,0.05799056,0.072090628,NaN,NaN,-0.288380563,-0.173123629,0.129751293,0.092776886,0.086053713,0.089931265,0.073264843,-0.287255563,-0.169717379,0.131916918,0.094370636,0.087364651,0.090989599,0.074005343,NaN,0.944001656,0.0045,0.0455,0.0807,0.0353,0.030352461,-0.008844662,-0.031020598,0.004997271,0.035040291,NaN,-0.336108205,-0.345684883,NaN,NaN,NaN
19314,NaN,NaN,NaN,NaN,NaN,NaN,0.006025,8.12,0.82,0.61,-0.079299691,0.100985222,0.084449022,0.075123153,NaN,NaN,-0.085324691,0.13766608,0.158625501,0.114539229,0.115043316,0.099560935,0.080675837,-0.079299691,0.14080983,0.160663001,0.116082979,0.116315191,0.100604685,0.081412837,NaN,1.170731707,0.0241,0.0532,0.1042,0.0407,-0.012944196,-0.026850998,-0.05172054,-0.081554832,0.075131849,NaN,-0.165081484,-0.183522961,NaN,NaN,NaN
19321,NaN,NaN,NaN,NaN,NaN,NaN,0.005625,7.31,0.74,0.56,-0.00862069,0.10123119,0.091133005,0.076607387,NaN,NaN,-0.01424569,0.137623243,0.178228947,0.129385587,0.132809531,0.095806949,0.085008921,-0.00862069,0.139285743,0.179603947,0.13047517,0.133728281,0.096611115,0.085644421,NaN,1.185862445,0.0225,0.0498,0.0883,0.037,-0.008415512,-0.039220174,0.042959707,0.005695766,0.057500957,NaN,-0.089152034,-0.104940269,NaN,NaN,NaN
19322,NaN,NaN,NaN,NaN,NaN,NaN,0.00085,4.43,0.66,0.51,-0.30369357,0.148984199,0.090287278,0.115124153,NaN,NaN,-0.30454357,0.120209285,0.193461886,0.125453758,0.142929619,0.091376388,0.085952801,-0.30369357,0.121303035,0.194208761,0.126105841,0.143528057,0.091954513,0.086494801,NaN,2.028478058,0.0034,0.0541,0.11,0.0347,-0.040688628,-0.028725676,0.047227499,-0.007981941,0.077337788,NaN,-0.388075176,-0.401819435,NaN,NaN,NaN
19323,NaN,NaN,NaN,NaN,NaN,NaN,0.000075,8.08,0.58,0.46,0.954853273,0.071782178,0.130925508,0.056930693,NaN,NaN,0.954778273,0.432626214,0.225727143,0.172446161,0.163901176,0.122687946,0.09380871,0.954853273,0.433551214,0.226414643,0.173058661,0.164477739,0.123235863,0.09435271,NaN,1.214365567,0.0003,0.047,0.0761,0.0319,0.000704981,-0.017244354,0.054390392,0.079634913,0.103428451,NaN,0.893712747,0.871779178,NaN,NaN,NaN
19324,NaN,NaN,NaN,NaN,NaN,NaN,0.0001,6.89,0.5,0.41,-0.08539604,0.07256894,0.061881188,0.059506531,NaN,NaN,-0.08549604,0.179584922,0.102975804,0.107502394,0.111699165,0.087727058,0.076215229,-0.08539604,0.180516172,0.103719554,0.108150311,0.11229604,0.088280183,0.076776729,NaN,1.442084301,0.0004,0.0459,0.0842,0.0315,-0.005031571,-0.022534769,0.014614139,0.028859101,0.069184461,NaN,-0.136813852,-0.150209573,NaN,NaN,NaN
19331,NaN,NaN,NaN,NaN,NaN,NaN,0.00335,5.85,0.485,0.418,-0.080551524,0.082905983,0.070391872,0.071452991,NaN,NaN,-0.083901524,0.218834651,0.125266758,0.13120496,0.124402119,0.096324394,0.080794713,-0.080551524,0.219922151,0.126069883,0.131875793,0.125011494,0.096876478,0.081373213,NaN,1.476534296,0.0134,0.0468,0.0891,0.0321,-0.021882756,-0.038530546,-0.001792244,0.004237024,0.059037648,NaN,-0.135989754,-0.14894611,NaN,NaN,NaN
19332,NaN,NaN,NaN,NaN,NaN,NaN,0.000175,10.91,0.47,0.425,0.945299145,0.043079743,0.08034188,0.038955087,NaN,NaN,0.945124145,0.266714487,0.128075995,0.150503064,0.135007136,0.094423525,0.084940374,0.945299145,0.267114487,0.128507245,0.150936398,0.135466511,0.09483915,0.085470874,NaN,0.833503159,0.0007,0.0446,0.0707,0.0306,0.00076157,0.010547071,0.032138055,0.068667487,0.060934421,NaN,0.890017044,0.874056994,NaN,NaN,NaN
19333,NaN,NaN,NaN,NaN,NaN,NaN,0.0001,9.83,0.455,0.433,-0.057286893,0.046286877,0.041704858,0.04404883,NaN,NaN,-0.057386893,0.018828073,0.042356134,0.074326164,0.070021252,0.056596086,0.068320872,-0.057286893,0.019278073,0.042812384,0.074786581,0.070525939,0.057007545,0.068866872,NaN,0.867996604,0.0004,0.0436,0.0727,0.0308,-0.000458363,0.038903863,0.004998713,0.02411396,0.058996971,NaN,-0.09327051,-0.099934336,NaN,NaN,NaN
19334,NaN,NaN,NaN,NaN,NaN,NaN,0.000725,10.1,0.44,0.44,0.072227874,0.043564356,0.044760936,0.043564356,NaN,NaN,0.071502874,0.026366686,0.07146113,0.089070579,0.070028651,0.069408474,0.071062513,0.072227874,0.026922936,0.07196738,0.089555996,0.070575526,0.069830349,0.071625513,NaN,0.829026046,0.0029,0.045,0.0775,0.0336,0.006195828,-0.0050633,-0.034894742,0.004263691,0.042847916,NaN,0.035002625,0.025591307,NaN,NaN,NaN
19341,NaN,NaN,NaN,NaN,NaN,NaN,0.0006,10.75,0.443,0.453,0.108217822,0.041209302,0.043861386,0.042139535,NaN,NaN,0.107617822,0.031698866,0.087390115,0.092924608,0.05459595,0.066713039,0.070752836,0.108217822,0.032217616,0.087852615,0.093374608,0.0551147,0.067108872,0.071320336,NaN,0.802512212,0.0024,0.0413,0.0626,0.0307,0.009606328,0.012648714,0.054378131,0.060135847,0.018578719,NaN,0.08419023,0.074778005,NaN,NaN,NaN
19342,NaN,NaN,NaN,NaN,NaN,NaN,0.000375,9.81,0.445,0.465,-0.046046512,0.045361876,0.041395349,0.047400612,NaN,NaN,-0.046421512,-0.010562498,0.092397353,0.091104686,0.040333639,0.063527921,0.065564659,-0.046046512,-0.010099998,0.092847353,0.091583852,0.040827389,0.063900837,0.066139159,NaN,0.840731071,0.0015,0.0393,0.0606,0.0289,0.00598278,0.002496787,0.032738356,0.035601599,0.016157033,NaN,-0.080361937,-0.088138271,NaN,NaN,NaN
19343,NaN,NaN,NaN,NaN,NaN,NaN,0.000525,9.1,0.448,0.478,-0.026707441,0.049230769,0.045667686,0.052527473,NaN,NaN,-0.027232441,0.065884195,0.102075209,0.087085645,0.071168348,0.05994153,0.067877833,-0.026707441,0.066346695,0.102540834,0.087608562,0.071646473,0.060309238,0.068463833,NaN,0.870364364,0.0021,0.0396,0.0657,0.031,0.019441144,0.017385784,-0.022332631,0.003264615,0.022863597,NaN,-0.068426231,-0.079266601,NaN,NaN,NaN
19344,NaN,NaN,NaN,NaN,NaN,NaN,0.000575,9.5,0.45,0.49,0.093406593,0.047368421,0.049450549,0.051578947,NaN,NaN,0.092831593,0.116555575,0.120422526,0.08458264,0.080102685,0.066707279,0.069174723,0.093406593,0.117011825,0.120872526,0.08512639,0.080560497,0.06705832,0.069769223,NaN,0.773740869,0.0023,0.0381,0.0623,0.0293,0.020814719,-0.012318272,0.033413374,0.033566219,0.008992412,NaN,0.049869607,0.039618166,NaN,NaN,NaN
19351,NaN,NaN,NaN,NaN,NaN,NaN,0.000375,8.47,0.45,0.73,-0.061052632,0.053128689,0.047368421,0.086186541,NaN,NaN,-0.061427632,0.143081364,0.123537479,0.062228311,0.081853212,0.065143341,0.068353805,-0.061052632,0.143487614,0.123953104,0.062747061,0.082279775,0.065472508,0.068955805,NaN,0.800754118,0.0015,0.0367,0.062,0.0274,0.0120482,0.019759333,0.031780467,0.039950149,0.009466448,NaN,-0.106658849,-0.116885824,NaN,0.18,NaN
19352,NaN,NaN,NaN,NaN,NaN,NaN,0.000375,10.23,0.44,0.81,0.25974026,0.043010753,0.051948052,0.079178886,NaN,NaN,0.25936526,0.195357204,0.141938277,0.057299018,0.07759729,0.067927662,0.070449655,0.25974026,0.195794704,0.142425777,0.057803185,0.078005102,0.068252662,0.071084155,NaN,0.681818182,0.0015,0.0361,0.0577,0.027,0.019345852,0.002377373,0.011374796,0.026820047,0.008850288,NaN,0.218596022,0.207512781,NaN,0.19,NaN
19353,NaN,NaN,NaN,NaN,NaN,NaN,0.0005,11.59,0.44,0.76,0.175953079,0.037963762,0.043010753,0.06557377,NaN,NaN,0.175453079,0.138266224,0.09768637,0.072929732,0.063716062,0.059534649,0.066578185,0.175953079,0.138734974,0.098239495,0.073413065,0.064105125,0.059856524,0.067252685,NaN,0.611734385,0.002,0.0359,0.0553,0.0282,0.008026621,-2.38E-05,-0.007869065,0.00685338,0.007883858,NaN,0.141010333,0.13093342,NaN,0.15,NaN
19354,NaN,NaN,NaN,NaN,NaN,NaN,0.000375,13.43,0.47,0.76,0.19930975,0.034996277,0.0405522,0.056589724,NaN,NaN,0.19893475,0.124289477,0.068596172,0.067951721,0.068382145,0.056655312,0.063842653,0.19930975,0.124733227,0.069183672,0.068410055,0.068761833,0.05696677,0.064557153,NaN,0.559911191,0.0015,0.0344,0.053,0.0276,0.008688835,0.00728454,0.014155843,0.019521351,0.009306242,NaN,0.172447285,0.160610361,NaN,0.24,NaN
19361,NaN,NaN,NaN,NaN,NaN,NaN,0.0005,14.92,0.5,0.79,0.148175726,0.033512064,0.037230082,0.052949062,NaN,NaN,0.147675726,0.103993594,0.021801784,0.061443828,0.056374501,0.045064015,0.063142871,0.148175726,0.104418594,0.022376784,0.061877162,0.056737001,0.045394223,0.063899871,NaN,0.527696047,0.002,0.0329,0.0486,0.0275,0.013456037,-0.009685235,0.024389182,0.021956163,0.009094232,NaN,0.122239954,0.113763532,NaN,0.21,NaN
19362,NaN,NaN,NaN,NaN,NaN,NaN,0.0005,14.84,0.55,0.88,0.03150134,0.037061995,0.036863271,0.059299191,NaN,NaN,0.03100134,0.088519351,-0.011730075,0.038343985,0.049093204,0.038932766,0.059680854,0.03150134,0.089056851,-0.011192575,0.038741902,0.049427579,0.039268182,0.060482354,NaN,0.523178388,0.002,0.0324,0.049,0.0273,0.02081345,0.0097088,0.009629779,0.014864605,0.010237205,NaN,0.003008833,-0.006591206,NaN,0.28,NaN
