year,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,ep,dp,dy,de,ERP,SP500
1896,4.22,0.18,0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04800483,NaN,NaN,NaN,NaN,0.046433235,NaN,NaN,NaN,NaN,0.05,0.042654028,0.041666667,0.857142857,-0.029486311,0.018518519
1897,4.75,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.026987773,NaN,NaN,NaN,NaN,0.022751517,NaN,NaN,NaN,NaN,0.065,0.037894737,0.042654028,0.580645161,0.141258672,0.168246445
1898,5.65,0.2,0.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02983966,NaN,NaN,NaN,NaN,0.032424408,NaN,NaN,NaN,NaN,0.062,0.03539823,0.042105263,0.571428571,0.201739287,0.231578947
1899,6.02,0.21,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03289683,NaN,NaN,NaN,NaN,0.027096542,NaN,NaN,NaN,NaN,0.08,0.034883721,0.037168142,0.4375,0.069758037,0.102654867
1900,6.87,0.3,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.034988052,NaN,NaN,NaN,NaN,0.017160114,NaN,NaN,NaN,NaN,0.07,0.043668122,0.049833887,0.625,0.156041848,0.1910299
1901,7.95,0.32,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.034077139,NaN,NaN,NaN,NaN,0.037292987,NaN,NaN,NaN,NaN,0.063,0.040251572,0.04657933,0.64,0.169707432,0.203784571
1902,8.05,0.33,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.039893972,NaN,NaN,NaN,NaN,0.013393028,NaN,NaN,NaN,NaN,0.078,0.040993789,0.041509434,0.523809524,0.014194078,0.05408805
1903,6.57,0.35,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.044945218,NaN,NaN,NaN,NaN,0.024745582,NaN,NaN,NaN,NaN,0.081,0.053272451,0.043478261,0.660377358,-0.185317889,-0.140372671
1904,8.25,0.31,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033364138,NaN,NaN,NaN,NaN,0.01266884,NaN,NaN,NaN,NaN,0.059,0.037575758,0.04718417,0.632653061,0.269527795,0.302891933
1905,9.54,0.33,0.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.035145776,NaN,NaN,NaN,NaN,0.015637005,NaN,NaN,NaN,NaN,0.07,0.034591195,0.04,0.492537313,0.16121786,0.196363636
1906,9.84,0.4,0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.046852117,NaN,NaN,NaN,NaN,0.017091924,NaN,NaN,NaN,NaN,0.077,0.040650407,0.041928721,0.526315789,0.026523145,0.073375262
1907,6.57,0.44,0.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.052967677,NaN,NaN,NaN,NaN,0.047979057,NaN,NaN,NaN,NaN,0.1,0.066971081,0.044715447,0.666666667,-0.340569303,-0.287601626
1908,9.03,0.4,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.034885596,NaN,NaN,NaN,NaN,0.020052109,NaN,NaN,NaN,NaN,0.064,0.044296788,0.060882801,0.689655172,0.400426428,0.435312024
1909,10.3,0.44,0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.031293578,NaN,NaN,NaN,NaN,0.010034856,NaN,NaN,NaN,NaN,0.074,0.042718447,0.048726467,0.578947368,0.158075193,0.189368771
1910,9.05,0.47,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.040750009,NaN,NaN,NaN,NaN,0.018907775,NaN,NaN,NaN,NaN,0.081,0.051933702,0.045631068,0.643835616,-0.116478164,-0.075728155
1911,9.11,0.47,0.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.031742712,NaN,NaN,NaN,NaN,0.007783574,NaN,NaN,NaN,NaN,0.065,0.051591658,0.051933702,0.796610169,0.026820824,0.058563536
1912,9.38,0.48,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038254509,NaN,NaN,NaN,NaN,0.006454296,NaN,NaN,NaN,NaN,0.075,0.051172708,0.052689352,0.685714286,0.044072604,0.082327113
1913,8.04,0.48,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045956379,0.023652101,NaN,NaN,NaN,0.010675343,NaN,NaN,NaN,NaN,0.078,0.059701493,0.051172708,0.761904762,-0.137640814,-0.091684435
1914,7.35,0.42,0.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038685054,0.009636084,NaN,NaN,NaN,0.011600559,NaN,NaN,NaN,NaN,0.071,0.057142857,0.052238806,0.807692308,-0.072267144,-0.03358209
1915,9.48,0.43,0.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.026490187,0.019514295,NaN,NaN,NaN,0.019104943,NaN,NaN,NaN,NaN,0.093,0.04535865,0.058503401,0.488636364,0.321809133,0.34829932
1916,9.8,0.56,1.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.026263814,0.115354583,NaN,NaN,NaN,0.017832474,NaN,NaN,NaN,NaN,0.156,0.057142857,0.05907173,0.366013072,0.06656319,0.092827004
1917,6.8,0.69,1.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03821093,0.182506984,NaN,NaN,NaN,0.035561568,NaN,NaN,NaN,NaN,0.188,0.101470588,0.070408163,0.5390625,-0.273925216,-0.235714286
1918,7.9,0.57,0.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.048579958,0.202771442,NaN,NaN,NaN,0.015361258,NaN,NaN,NaN,NaN,0.125,0.072151899,0.083823529,0.575757576,0.197008277,0.245588235
1919,8.92,0.53,0.93,NaN,NaN,0.0573,0.0777,0.049,NaN,NaN,0.044479485,0.145753222,NaN,NaN,NaN,0.024540792,NaN,NaN,NaN,NaN,0.104,0.05941704,0.067088608,0.569892473,0.151723047,0.196202532
1920,6.81,0.51,0.8,NaN,0.0588,0.0626,0.0856,0.054,NaN,NaN,0.0588,0.021238322,NaN,NaN,NaN,0.0334078,NaN,NaN,NaN,NaN,0.117,0.074889868,0.057174888,0.6375,-0.238172197,-0.179372197
1921,7.31,0.46,0.29,0.596534654,0.039,0.055,0.0761,0.0447,NaN,NaN,0.039,-0.107869955,NaN,NaN,NaN,0.01901912,NaN,NaN,NaN,NaN,0.04,0.062927497,0.067547724,1.586206897,0.101969163,0.140969163
1922,8.78,0.51,0.69,0.472649486,0.0365,0.0508,0.0702,0.0432,NaN,NaN,0.0365,-0.025483902,NaN,NaN,NaN,0.014713101,NaN,NaN,NaN,NaN,0.079,0.05808656,0.069767442,0.739130435,0.234361833,0.270861833
1923,8.55,0.53,0.98,0.540201005,0.0388,0.0509,0.0738,0.0435,NaN,NaN,0.0388,0.025618854,NaN,NaN,NaN,0.015696907,NaN,NaN,NaN,NaN,0.115,0.061988304,0.060364465,0.540816327,-0.004631435,0.034168565
1924,10.16,0.55,0.93,0.45888308,0.0257,0.0495,0.0646,0.0396,NaN,NaN,0.0257,-0.001993174,NaN,NaN,NaN,0.010721562,NaN,NaN,NaN,NaN,0.092,0.054133858,0.064327485,0.591397849,0.226931579,0.252631579
1925,12.46,0.6,1.25,0.389378271,0.0351,0.0485,0.0615,0.038,NaN,NaN,0.0351,0.038328326,NaN,NaN,NaN,0.013528506,NaN,NaN,NaN,NaN,0.1,0.048154093,0.059055118,0.48,0.250333071,0.285433071
1926,13.49,0.69,1.24,0.441475827,0.0307,0.0468,0.0568,0.0354,NaN,0.05088521,0.0307,-0.015097384,NaN,0.07769524,0.073744405,0.016486225,NaN,NaN,0.122004602,0.066031023,0.092,0.051148999,0.055377207,0.556451613,0.107341734,0.138041734
1927,17.66,0.77,1.11,0.37468859,0.0317,0.0446,0.0532,0.0316,NaN,0.076474752,0.0317,-0.021175602,0.265512354,0.089448628,0.074436369,0.009419065,NaN,NaN,0.358791645,0.294560247,0.063,0.043601359,0.057079318,0.693693694,0.334497183,0.366197183
1928,24.35,0.85,1.38,0.259666667,0.0426,0.0461,0.056,0.034,NaN,0.063068738,0.0426,-0.009793164,0.497429287,0.000827246,0.028411562,0.019799325,NaN,NaN,0.388440408,0.333130679,0.057,0.034907598,0.04813137,0.615942029,0.384353567,0.426953567
1929,21.45,0.97,1.61,0.338457824,0.0303,0.0467,0.0595,0.034,NaN,0.163522172,0.0303,0.001829714,0.72059294,0.034099467,0.032730041,0.124614012,NaN,NaN,-0.088346978,-0.121345415,0.075,0.045221445,0.039835729,0.602484472,-0.10956078,-0.07926078
1930,15.34,0.98,0.97,0.554745413,0.0148,0.0452,0.0671,0.033,NaN,0.113887289,0.0148,-0.060665091,0.307847488,0.046429195,0.079750525,0.066648919,NaN,NaN,-0.263028518,-0.295860555,0.063,0.063885267,0.045687646,1.010309278,-0.253960839,-0.239160839
1931,8.12,0.82,0.61,1.170731707,0.0241,0.0532,0.1042,0.0407,NaN,-0.012944196,0.0241,-0.095711494,0.144664698,-0.053157349,-0.01850982,0.15940274,NaN,NaN,-0.455253213,-0.489203534,0.075,0.100985222,0.05345502,1.344262295,-0.441309909,-0.417209909
